gender_F,age_F,checking_status_F,credit_history_F,purpose_F,savings_status_F,employment_F,other_parties_F,residence_since_F,property_magnitude_F,other_payment_plans_F,housing_F,existing_credits_F,job_F,num_dependents_F,own_telephone_F,foreign_worker_F,duration_F,credit_amount_F,installment_commitment_F,class_F,gender_CF,age_CF,checking_status_CF,credit_history_CF,purpose_CF,savings_status_CF,employment_CF,other_parties_CF,residence_since_CF,property_magnitude_CF,other_payment_plans_CF,housing_CF,existing_credits_CF,job_CF,num_dependents_CF,own_telephone_CF,foreign_worker_CF,duration_CF,credit_amount_CF,installment_commitment_CF,class_CF,class_TTD,class_PSDL,duration_PSDT,credit_amount_PSDT,installment_commitment_PSDT,class_PSDT,risk_score,risk_score_treat_female,risk_score_treat_male
0.0,37.0,1.0,3.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,12.0,1274.0,3.0,0.0,1.0,37.0,1.0,3.0,1.0,2.0,2.0,2.0,1.0005392,2.0,1.0,1.0,1.0000863,2.0,1.0000165,0.0,1.0,13.61603,2054.1675,3.9964056,0.0,0.0,0.0,11.587317,1650.7073,3.9968092,0.0,1.0,1.0,1.0
0.0,35.0,1.0,3.0,7.0,2.0,2.0,2.0,4.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,24.0,2439.0,4.0,0.0,1.0,35.0,1.0,3.0,7.0,2.0,3.0,2.0,3.9985409,2.0,1.0,1.0,1.0000997,3.0,1.0000112,1.0,1.0,24.408236,2407.4272,4.0007367,0.0,0.0,1.0,24.233902,2463.8765,4.0005274,0.0,0.748,0.70967746,0.794
1.0,27.0,0.0,3.0,7.0,3.0,1.0,0.0,2.0,1.0,0.0,1.0,2.0,3.0,1.0,1.0,1.0,48.0,10961.0,1.0,0.0,0.0,27.0,0.0,3.0,7.0,3.0,1.0,0.0,1.9999921,1.0,0.0,1.0,1.9995677,3.0,1.0000044,1.0,1.0,46.034058,10356.672,0.99983954,0.0,0.0,0.0,46.511494,10425.195,0.9990543,0.0,0.050000012,0.025806427,0.06400001
1.0,34.0,0.0,3.0,3.0,0.0,0.0,2.0,4.0,3.0,1.0,1.0,1.0,3.0,1.0,0.0,1.0,18.0,2622.0,4.0,1.0,0.0,34.0,0.0,3.0,3.0,0.0,0.0,2.0,4.001382,3.0,1.0,1.0,0.9999168,3.0,0.9999902,0.0,1.0,15.146054,2117.3257,3.9996173,1.0,1.0,1.0,12.868605,1735.2632,3.9994476,1.0,0.21600002,0.19032258,0.26999998
1.0,29.0,3.0,3.0,7.0,4.0,1.0,2.0,4.0,0.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,42.0,7166.0,2.0,1.0,0.0,28.999998,3.0,3.0,7.0,4.0,1.0,2.0,4.001292,0.0,1.0,2.0,0.99986154,3.0,0.99999905,1.0,1.0,39.004326,6915.829,1.0047715,1.0,1.0,1.0,41.655884,7241.359,1.0060718,1.0,0.00999999,0.00967741,0.013999999
1.0,38.0,3.0,1.0,2.0,4.0,3.0,2.0,3.0,3.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,48.0,2751.0,4.0,1.0,0.0,38.0,3.0,1.0,3.0,4.0,3.0,2.0,3.991437,3.0,1.0,1.0,1.999747,3.0,1.0020583,1.0,1.0,45.29861,3403.8403,3.9987507,1.0,1.0,0.0,41.499954,1642.3647,3.9999225,1.0,0.00999999,0.0129032135,0.015999973
1.0,36.0,3.0,1.0,3.0,4.0,3.0,2.0,4.0,2.0,1.0,1.0,2.0,3.0,1.0,0.0,1.0,36.0,6304.0,4.0,1.0,0.0,36.0,3.0,1.0,3.0,4.0,2.0,2.0,4.00111,2.0,1.0,2.0,1.9996159,3.0,0.99998915,0.0,1.0,27.957573,5145.8047,4.0002394,1.0,1.0,1.0,29.400795,5668.949,4.000439,1.0,0.0019999743,0.0,0.0019999743
1.0,37.0,2.0,3.0,0.0,2.0,0.0,2.0,2.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,10.0,1225.0,2.0,1.0,0.0,37.0,2.0,3.0,0.0,2.0,0.0,2.0,1.9998181,3.0,1.0,1.0,0.9999517,3.0,0.99999154,1.0,1.0,9.638092,1006.3679,1.9973581,1.0,1.0,1.0,10.234754,950.8882,1.997962,1.0,0.008000016,0.0032258034,0.008000016
1.0,36.0,1.0,1.0,1.0,2.0,3.0,2.0,4.0,1.0,1.0,0.0,3.0,0.0,1.0,1.0,1.0,18.0,5302.0,2.0,1.0,0.0,36.0,1.0,1.0,1.0,2.0,3.0,2.0,4.0015545,1.0,1.0,0.0,2.2182674,0.0,0.99997675,1.0,1.0,14.060516,1795.4447,2.0045137,1.0,1.0,1.0,16.162779,1967.3069,2.0063853,1.0,0.0019999743,0.0,0.0019999743
1.0,25.0,1.0,3.0,5.0,2.0,4.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,18.0,2473.0,4.0,0.0,0.0,25.0,1.0,3.0,5.0,2.0,4.0,2.0,1.0001682,3.0,1.0,2.0,0.9998262,1.0,1.0000075,0.0,1.0,14.984541,2101.787,3.9997025,0.0,0.0,0.0,18.722008,2536.2158,4.0002885,0.0,1.0,1.0,1.0
1.0,23.0,0.0,3.0,7.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,1.0,0.0,1.0,12.0,1534.0,1.0,0.0,0.0,23.0,0.0,3.0,5.0,2.0,2.0,2.0,1.0001613,2.0,1.0,2.0,0.9998367,3.0,1.0000117,0.0,1.0,11.2359915,1510.9272,0.99622023,0.0,0.0,0.0,11.570367,1539.898,0.9959295,0.0,1.0,1.0,1.0
0.0,24.0,1.0,3.0,1.0,2.0,2.0,2.0,4.0,0.0,1.0,2.0,1.0,3.0,1.0,0.0,1.0,24.0,1207.0,4.0,0.0,1.0,24.0,1.0,3.0,1.0,2.0,3.0,2.0,3.9978662,0.0,1.0,1.0,1.0001876,3.0,0.9999883,0.0,1.0,25.117544,1628.917,4.0003815,0.0,0.0,0.0,24.248627,1721.1416,3.9996383,0.0,1.0,1.0,1.0
1.0,20.0,1.0,3.0,7.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,3.0,1.0,0.0,1.0,12.0,674.0,4.0,0.0,0.0,20.0,1.0,3.0,7.0,0.0,1.0,2.0,1.000273,0.0,1.0,1.0,0.99981976,3.0,1.0000185,0.0,1.0,11.003013,746.1655,3.9989133,0.0,0.0,0.0,11.482206,772.89624,3.999104,0.0,0.73800004,0.6967742,0.782
0.0,40.0,3.0,3.0,9.0,4.0,1.0,2.0,3.0,0.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,10.0,894.0,4.0,1.0,1.0,40.0,3.0,3.0,9.0,4.0,1.0,2.0,2.1229222,0.0,1.0,1.0,1.0000299,3.0,1.0000094,1.0,0.0,9.829296,937.09766,4.0002766,1.0,1.0,1.0,10.469112,877.8882,4.0001955,1.0,0.015999973,0.016129017,0.022000015
0.0,26.0,3.0,3.0,1.0,1.0,0.0,2.0,2.0,0.0,1.0,1.0,1.0,3.0,1.0,0.0,1.0,12.0,1386.0,2.0,0.0,1.0,26.0,3.0,3.0,1.0,1.0,0.0,2.0,1.9993098,0.0,1.0,1.0,1.0001614,3.0,0.9999814,0.0,1.0,13.613562,1925.5745,2.005317,0.0,0.0,0.0,12.081861,1706.2334,2.005052,0.0,1.0,1.0,1.0
0.0,44.0,1.0,1.0,2.0,2.0,3.0,2.0,4.0,1.0,1.0,0.0,2.0,0.0,2.0,1.0,1.0,24.0,6419.0,2.0,1.0,1.0,44.0,1.0,1.0,2.0,2.0,3.0,2.0,3.9989927,1.0,1.0,0.0,2.0004725,0.0,2.00371,1.0,1.0,31.894625,9979.768,1.9975667,1.0,1.0,1.0,24.574312,7236.992,2.0006065,1.0,0.63,0.5870968,0.684
0.0,25.0,3.0,1.0,1.0,2.0,0.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,1.0,1.0,1.0,36.0,7855.0,4.0,0.0,1.0,25.0,3.0,1.0,1.0,2.0,0.0,2.0,1.9993006,2.0,2.0,1.0,2.0010478,3.0,0.9999764,1.0,1.0,37.378006,9223.709,4.0012627,0.0,0.0,0.0,37.227974,9148.643,4.0012107,0.0,0.634,0.5903226,0.702
1.0,41.0,3.0,3.0,1.0,0.0,3.0,2.0,4.0,2.0,1.0,2.0,1.0,2.0,1.0,0.0,1.0,24.0,1469.0,4.0,1.0,0.0,41.0,3.0,3.0,1.0,0.0,3.0,2.0,4.000799,2.0,1.0,2.0,0.99990565,2.0,0.9999846,0.0,1.0,23.522846,1353.5636,4.0001593,1.0,1.0,1.0,23.159887,1287.0348,3.9993343,1.0,0.0019999743,0.0,0.0019999743
0.0,23.0,1.0,1.0,5.0,1.0,0.0,2.0,4.0,3.0,1.0,1.0,2.0,3.0,1.0,0.0,1.0,33.0,4281.0,1.0,0.0,1.0,23.0,1.0,1.0,5.0,1.0,0.0,2.0,3.9982214,3.0,1.0,1.0,2.0005736,3.0,0.9999932,0.0,1.0,36.266113,4487.3975,1.0004445,0.0,0.0,1.0,36.36615,4359.5586,1.0003852,0.0,0.57,0.5548387,0.628
1.0,54.0,1.0,3.0,0.0,2.0,0.0,2.0,4.0,3.0,1.0,1.0,1.0,3.0,1.0,0.0,1.0,48.0,3051.0,3.0,0.0,0.0,54.0,1.0,3.0,0.0,2.0,0.0,2.0,4.0004635,3.0,1.0,1.0,0.9999936,3.0,0.9999704,0.0,1.0,42.29814,1963.4468,3.991634,0.0,0.0,0.0,49.42497,3077.3088,2.0863032,0.0,0.83599997,0.82903224,0.856
1.0,32.0,3.0,1.0,1.0,2.0,3.0,2.0,4.0,2.0,1.0,1.0,2.0,2.0,2.0,0.0,0.0,10.0,1231.0,3.0,1.0,0.0,32.0,3.0,1.0,1.0,2.0,3.0,2.0,4.0011096,2.0,1.0,2.0,1.9995921,2.0,1.0019363,0.0,0.0,11.673619,1140.6743,3.946175,1.0,1.0,1.0,9.492807,1174.7156,2.2959454,1.0,0.268,0.2548387,0.288
1.0,50.0,3.0,0.0,3.0,2.0,1.0,2.0,4.0,3.0,0.0,1.0,1.0,3.0,1.0,1.0,1.0,24.0,1559.0,4.0,1.0,0.0,50.0,3.0,0.0,3.0,2.0,1.0,2.0,4.000933,3.0,0.0,1.0,0.99996245,3.0,0.9999571,1.0,1.0,23.603558,1391.6958,3.6890326,1.0,1.0,1.0,23.570288,1333.6406,3.996949,1.0,0.0,0.0,0.0
0.0,23.0,1.0,3.0,1.0,2.0,4.0,2.0,4.0,3.0,1.0,2.0,1.0,3.0,1.0,0.0,1.0,15.0,2511.0,1.0,1.0,1.0,23.0,1.0,3.0,2.0,2.0,4.0,2.0,3.998661,3.0,1.0,1.0,1.000112,3.0,0.99999815,0.0,1.0,16.465403,2835.5183,1.0008968,1.0,1.0,1.0,13.461014,2837.8467,1.0008311,1.0,0.0019999743,0.0,0.0019999743
1.0,37.0,2.0,3.0,7.0,4.0,3.0,2.0,3.0,3.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,12.0,3399.0,2.0,1.0,0.0,37.0,2.0,3.0,7.0,4.0,3.0,2.0,3.9936883,3.0,1.0,1.0,0.9999026,1.0,0.99998444,0.0,1.0,12.0727415,3449.4797,1.0045624,1.0,1.0,1.0,11.7466,3269.5637,1.9976846,1.0,0.0019999743,0.0032258034,0.0019999743
1.0,33.0,1.0,1.0,1.0,2.0,0.0,1.0,2.0,0.0,0.0,2.0,2.0,3.0,1.0,0.0,0.0,20.0,2235.0,4.0,0.0,0.0,33.0,1.0,1.0,1.0,2.0,0.0,1.0,1.9999342,0.0,0.0,2.0,1.9997482,3.0,0.9999974,0.0,0.0,19.256622,1915.3777,3.999376,0.0,0.0,0.0,20.860693,2194.3625,3.999042,0.0,1.0,1.0,1.0
1.0,49.0,2.0,0.0,7.0,4.0,1.0,2.0,4.0,3.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,18.0,1445.0,4.0,1.0,0.0,49.0,2.0,0.0,7.0,4.0,1.0,2.0,4.000243,3.0,0.0,1.0,1.0000026,2.0,0.9999885,0.0,1.0,17.125698,1347.5695,3.999649,1.0,1.0,1.0,20.125692,1610.3813,3.999435,1.0,0.0059999824,0.0,0.0059999824
0.0,64.0,3.0,3.0,1.0,2.0,0.0,2.0,4.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,10.0,1364.0,2.0,1.0,1.0,64.0,3.0,3.0,1.0,2.0,0.0,2.0,3.9996548,3.0,1.0,0.0,0.9999753,3.0,1.000046,1.0,1.0,10.304872,1610.9899,2.0060997,1.0,1.0,1.0,9.443081,1553.4355,2.0058947,1.0,0.0,0.0,0.0
1.0,66.0,1.0,1.0,2.0,2.0,3.0,2.0,4.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,12.0,1526.0,4.0,1.0,0.0,66.0,1.0,1.0,2.0,2.0,3.0,2.0,4.0002775,1.0,1.0,0.0,1.9996905,0.0,0.99996185,0.0,1.0,11.201149,1324.0865,3.999209,1.0,1.0,1.0,11.96283,1336.323,3.9993844,1.0,0.0,0.0,0.0
0.0,21.0,0.0,3.0,5.0,0.0,0.0,0.0,4.0,3.0,1.0,2.0,1.0,3.0,1.0,0.0,1.0,30.0,3441.0,2.0,0.0,1.0,21.0,0.0,3.0,5.0,0.0,0.0,0.0,3.997767,3.0,1.0,2.0,1.0001696,3.0,0.9999903,1.0,1.0,36.202114,3817.8247,2.0035355,0.0,0.0,0.0,36.17576,3670.0554,2.0045135,0.0,1.0,1.0,1.0
1.0,36.0,0.0,2.0,2.0,4.0,1.0,2.0,4.0,0.0,0.0,2.0,2.0,0.0,2.0,1.0,1.0,20.0,7057.0,3.0,1.0,0.0,36.0,0.0,2.0,2.0,4.0,1.0,2.0,4.001426,0.0,0.0,2.0,1.9995246,0.0,1.0014725,1.0,1.0,16.670753,5585.3125,3.9989533,0.0,1.0,1.0,16.809875,4888.741,3.9958968,1.0,0.564,0.5580645,0.61800003
0.0,42.0,0.0,4.0,3.0,2.0,3.0,2.0,4.0,1.0,1.0,0.0,2.0,0.0,1.0,1.0,1.0,27.0,8318.0,2.0,0.0,1.0,42.0,1.0,4.0,3.0,3.0,3.0,2.0,3.9987345,1.0,1.0,0.0,2.0005195,0.0,1.0000381,1.0,1.0,36.489628,13065.106,1.9980595,0.0,0.0,0.0,36.027573,11144.068,1.9979005,0.0,1.0,1.0,1.0
1.0,35.0,3.0,3.0,1.0,0.0,0.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,0.0,0.0,10.0,1418.0,3.0,1.0,0.0,35.0,2.0,3.0,1.0,0.0,0.0,2.0,2.000091,2.0,1.0,2.0,0.99988127,2.0,0.9999895,0.0,0.0,9.583516,1272.7461,2.1274166,1.0,1.0,1.0,9.763723,1341.0162,2.1786563,1.0,0.06400001,0.02903223,0.086000025
1.0,26.0,3.0,3.0,1.0,0.0,0.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,2.0,0.0,0.0,9.0,3577.0,1.0,1.0,0.0,26.0,3.0,3.0,1.0,0.0,0.0,1.0,2.000284,2.0,1.0,2.0,0.9998921,3.0,1.0024359,0.0,0.0,10.821443,2735.581,0.9998336,1.0,1.0,1.0,8.306845,3463.1265,0.9981172,1.0,0.015999973,0.0032258034,0.022000015
0.0,28.0,3.0,1.0,7.0,2.0,0.0,2.0,1.0,3.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,6.0,1382.0,1.0,1.0,1.0,28.0,3.0,1.0,7.0,2.0,0.0,2.0,0.9999368,3.0,1.0,1.0,2.0006797,3.0,0.9999965,1.0,1.0,6.195177,1772.4652,1.0000494,1.0,1.0,1.0,5.900566,1893.8558,0.9992664,1.0,0.0019999743,0.0,0.0019999743
0.0,44.0,3.0,3.0,7.0,4.0,2.0,2.0,1.0,3.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,24.0,5943.0,1.0,0.0,1.0,44.0,3.0,3.0,7.0,4.0,2.0,2.0,1.0007379,3.0,1.0,1.0,2.000355,3.0,1.0000216,1.0,1.0,24.535295,6753.078,0.99937296,0.0,0.0,1.0,24.044918,6546.3696,0.998677,0.0,0.28399998,0.2129032,0.30400002
1.0,30.0,3.0,1.0,2.0,4.0,0.0,2.0,2.0,3.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,36.0,11054.0,4.0,1.0,0.0,30.0,3.0,1.0,2.0,3.0,0.0,2.0,2.0002449,3.0,1.0,1.0,0.9999412,0.0,0.99999535,1.0,1.0,30.605,9176.073,3.999631,1.0,1.0,1.0,37.008133,12066.798,3.9993663,1.0,0.00999999,0.0,0.012000024
1.0,36.0,0.0,3.0,3.0,2.0,0.0,2.0,2.0,3.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,27.0,3915.0,4.0,0.0,0.0,36.0,0.0,3.0,3.0,2.0,0.0,2.0,2.0000367,3.0,1.0,1.0,0.9998992,3.0,1.0015396,1.0,1.0,23.443888,3307.951,3.999918,0.0,0.0,0.0,23.996326,3561.7087,4.0004745,0.0,0.45999998,0.39999998,0.514
0.0,43.0,3.0,1.0,7.0,3.0,0.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,0.0,1.0,24.0,1516.0,4.0,1.0,1.0,43.0,3.0,1.0,7.0,4.0,0.0,2.0,1.0005825,2.0,1.0,1.0,2.0003617,2.0,1.0000193,0.0,1.0,25.482336,1808.3744,4.000497,1.0,1.0,1.0,24.408855,1693.1082,3.9999332,1.0,0.0,0.0,0.0
1.0,32.0,0.0,2.0,4.0,0.0,1.0,2.0,3.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,39.0,11760.0,2.0,1.0,0.0,32.0,0.0,2.0,4.0,0.0,1.0,2.0,3.9923782,1.0,1.0,2.0,0.99988234,3.0,0.99999577,0.0,1.0,37.199646,8708.187,2.0027323,0.0,1.0,0.0,38.04795,9267.18,2.0018008,1.0,0.436,0.39999998,0.476
1.0,33.0,3.0,2.0,7.0,2.0,0.0,2.0,3.0,2.0,0.0,1.0,2.0,3.0,1.0,0.0,1.0,15.0,1478.0,4.0,1.0,0.0,33.0,3.0,3.0,7.0,2.0,0.0,2.0,3.9916654,2.0,0.0,1.0,1.9996805,3.0,0.9999955,0.0,1.0,15.287781,1415.0869,3.999104,1.0,1.0,1.0,14.325388,1289.0858,3.9996889,1.0,0.16000003,0.12258065,0.19599998
1.0,30.0,3.0,3.0,7.0,1.0,3.0,2.0,2.0,3.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,30.0,2333.0,4.0,1.0,0.0,30.0,3.0,3.0,7.0,1.0,3.0,2.0,2.0003233,3.0,0.0,1.0,0.9998807,0.0,0.9999835,0.0,1.0,24.127487,1686.442,3.999037,1.0,1.0,1.0,24.176428,1776.872,3.9989133,1.0,0.00999999,0.0,0.012000024
1.0,27.0,0.0,1.0,3.0,1.0,0.0,2.0,4.0,3.0,0.0,1.0,1.0,3.0,1.0,0.0,1.0,15.0,2326.0,2.0,1.0,0.0,27.0,0.0,1.0,3.0,1.0,0.0,2.0,4.0012016,3.0,0.0,1.0,0.9998921,3.0,1.0000044,0.0,1.0,13.765602,2150.7632,1.9956688,1.0,1.0,1.0,14.804197,2181.211,1.9973555,1.0,0.674,0.6612903,0.73
1.0,50.0,1.0,4.0,3.0,2.0,4.0,2.0,4.0,0.0,2.0,1.0,2.0,3.0,1.0,1.0,1.0,27.0,5293.0,2.0,0.0,0.0,50.0,1.0,4.0,3.0,2.0,4.0,2.0,4.000794,0.0,2.0,1.0,1.9997151,3.0,0.9999632,1.0,1.0,25.593895,5463.455,1.0012909,0.0,0.0,0.0,24.260448,5178.2627,1.0026535,0.0,1.0,1.0,1.0
1.0,28.0,0.0,3.0,2.0,2.0,2.0,2.0,4.0,3.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,36.0,9398.0,1.0,0.0,0.0,28.0,0.0,3.0,2.0,2.0,2.0,2.0,4.001069,3.0,1.0,2.0,0.999881,0.0,0.999987,1.0,1.0,26.43803,6280.7085,0.9998665,0.0,0.0,0.0,28.111752,6633.4756,1.0015486,0.0,0.958,0.9516129,0.968
1.0,22.0,1.0,3.0,1.0,2.0,4.0,2.0,4.0,1.0,1.0,0.0,1.0,3.0,1.0,0.0,1.0,14.0,3973.0,1.0,1.0,0.0,22.0,1.0,3.0,1.0,2.0,3.0,2.0,4.0010743,1.0,1.0,0.0,0.9999347,3.0,1.0000134,0.0,1.0,13.204973,3578.9194,0.9990283,1.0,1.0,1.0,14.510374,4470.8315,0.9978585,1.0,0.0019999743,0.0,0.0019999743
0.0,55.0,1.0,3.0,7.0,2.0,3.0,2.0,4.0,3.0,1.0,1.0,1.0,3.0,1.0,0.0,1.0,24.0,1603.0,4.0,1.0,1.0,55.0,1.0,3.0,7.0,2.0,3.0,2.0,3.9993854,3.0,1.0,1.0,0.9999751,3.0,1.0000579,0.0,1.0,24.793236,1683.5465,4.001086,1.0,1.0,1.0,25.355495,1582.693,4.0012465,1.0,0.09399998,0.054838717,0.12800002
1.0,40.0,3.0,3.0,7.0,1.0,3.0,2.0,4.0,3.0,1.0,1.0,1.0,3.0,1.0,0.0,1.0,22.0,2675.0,3.0,1.0,0.0,40.0,3.0,3.0,7.0,0.0,3.0,2.0,4.0011716,3.0,1.0,1.0,0.99993813,2.0,0.9999819,0.0,1.0,19.533916,2366.9814,2.1700966,1.0,1.0,1.0,20.326918,2732.5417,2.1206186,1.0,0.0,0.0,0.0
1.0,29.0,0.0,2.0,6.0,2.0,0.0,2.0,3.0,3.0,0.0,1.0,2.0,3.0,1.0,1.0,1.0,20.0,2629.0,2.0,1.0,0.0,28.999998,0.0,2.0,5.0,2.0,0.0,2.0,3.9935107,2.0,0.0,1.0,1.999508,3.0,0.9999991,0.0,1.0,18.290329,2554.575,1.9948914,1.0,1.0,1.0,20.685553,2818.643,1.9965129,1.0,0.0,0.0,0.0
1.0,27.0,1.0,3.0,7.0,2.0,0.0,2.0,2.0,3.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,27.0,3416.0,3.0,1.0,0.0,27.0,1.0,3.0,7.0,2.0,0.0,2.0,2.000702,3.0,1.0,1.0,0.9998292,1.0,1.0000004,0.0,1.0,23.91398,2970.5,2.2022386,1.0,1.0,1.0,23.477097,2746.347,2.179185,1.0,0.22399998,0.19354838,0.272
